object,otype,majaxis_arcmin,minaxis_arcmin
2E 0420.0-3838,X,,
2E 0458.3-6830,X,,
2E 1022.1-5730,X,,
2E 1216.1+2819,*,,
2E 1257.9+3609,X,,
2E 1621.6+2724,X,,
2E 1704.7+6054,X,,
2E 1842.9+2036,X,,
2E 2112.3-6804,X,,
2EG J0506+3424,gam,,
2EG J2354+3811,gam,,
2EUVE J0051-41.0,UV,,
2EUVE J0113-64.1,UV,,
2EUVE J0224+37.4,*,,
2EUVE J0229-01.5,UV,,
2EUVE J0437-47.5,Sy1,,
2EUVE J1531-19.4,UV,,
2EUVE J1639-57.6,UV,,
2EUVE J1717-23.1,UV,,
2EUVE J1745-88.3,UV,,
2EUVE J1951-58.5,UV,,
2EUVE J1958+55.0,UV,,
2EUVE J2041-36.8,UV,,
2EUVE J2228+11.6,UV,,
2EUVE J2323-24.7,UV,,
2EUVE J2323-26.8,UV,,
2FGL J1959.6-2931,Bla,,
2LC 359.872+0.178,rG,,
2MASS J00040863+2040195,*,,
2MASS J00144470-2303126,Q?,,
2MASS J00263301+1708492,*,,
2MASS J00320079+8511465,RG*,,
2MASS J00330933+4832245,*,,
2MASS J00331281+4828500,*,,
2MASS J00363876+4216285,*,,
2MASS J00372537-3146226,*,,
2MASS J00384781+4041056,G,,
2MASS J00395435+4024089,*,,
2MASS J00401151+5836007,*,,
2MASS J00401337+4024523,*,,
2MASS J00401704+4051266,*,,
2MASS J00402727+4129098,G,,
2MASS J00403355+4036473,s*r,,
2MASS J00405948+4045425,s*r,,
2MASS J00410859+4033486,Pe*,,
2MASS J00410968+4048220,*,,
2MASS J00411486+4050013,*,,
2MASS J00412835-2803154,*,,
2MASS J00413713-2734195,*,,
2MASS J00414867+4044129,*,,
2MASS J00420119+4122320,*,,
2MASS J00420663-2854471,*,,
2MASS J00422404+4118322,Gl?,,
2MASS J00423644+4116578,PN,,
2MASS J00423822-2455218,AGN,,
2MASS J00423857+4114088,PN,,
2MASS J00424214+4114241,PN,,
2MASS J00424589+4115149,PN,,
2MASS J00424684+4116146,AG?,,
2MASS J00425759+4117400,Gl?,,
2MASS J00430078+4117466,Gl?,,
2MASS J00430085+4024009,*,,
2MASS J00430399+4116182,Gl?,,
2MASS J00442694-2735004,*,,
2MASS J00444145-2851213,*,,
2MASS J00462418+4030110,*,,
2MASS J00462636-2726183,*,,
2MASS J00464808-2435533,*,,
