object,otype,majaxis_arcmin,minaxis_arcmin
US  615,*,,
US  621,QSO,,
US  626,QSO,,
US  642,*,,
US  651,QSO,,
US  656,Sy1,,
US  661,QSO,,
US  668,G,,
US  678,QSO,,
US  689,*,,
US  696,*,,
US  705,*,,
US  714,*,,
US  719,HS*,,
US  725,QSO,,
US  735,Sy1,,
US  737,QSO,,
US  742,*,,
US  751,QSO,,
US  753,*,,
US  763,QSO,,
US  767,*,,
US  796,QSO,,
US  798,*,,
US  806,*,,
US  820,*,,
US  836,QSO,,
US  839,*,,
US  842,QSO,,
US  855,*,,
US  863,*,,
US  868,*,,
US  869,*,,
US  877,*,,
US  889,QSO,,
US  898,QSO,,
US  922,QSO,,
US  932,*,,
US  933,*,,
US  939,Sy1,,
US  944,*,,
US  955,*,,
US  962,QSO,,
US  977,Pe*,,
US  981,QSO,,
US  984,QSO,,
US  994,*,,
US 1007,G,,
US 1010,QSO,,
US 1017,*,,
US 1022,QSO,,
US 1026,*,,
US 1028,*,,
US 1030,*,,
US 1040,*,,
US 1067,WD*,,
US 1070,EB*,,
US 1083,*,,
US 1084,*,,
US 1085,G,,
US 1086,*,,
US 1088,WD*,,
US 1089,*,,
US 1127,QSO,,
US 1134,*,,
US 1139,Bla,1.4e-05,5e-06
US 1147,QSO,,
US 1152,QSO,,
US 1156,QSO,,
US 1164,QSO,,
US 1172,QSO,,
US 1183,QSO,,
US 1194,*,,
US 1197,blu,,
US 1226,*,,
US 1227,QSO,,
US 1228,blu,,
US 1231,WD*,,
US 1232,*,,
US 1233,Sy1,,
US 1254,QSO,,
US 1257,blu,,
US 1258,blu,,
US 1266,QSO,,
US 1280,*,,
US 1297,*,,
US 1313,QSO,,
US 1317,G,,
US 1323,*,,
US 1331,blu,,
US 1342,*,,
US 1347,blu,,
US 1348,*,,
US 1354,blu,,
US 1356,QSO,,
US 1357,*,,
US 1363,QSO,,
US 1366,**,,
US 1372,AGN,,
US 1400,*,,
US 1409,QSO,,
US 1420,QSO,,
US 1421,*,,
US 1430,HB*,,
US 1432,Sy1,,
US 1438,QSO,,
US 1439,*,,
US 1455,*,,
US 1465,WD*,,
US 1476,QSO,,
US 1480,*,,
US 1486,PoG,,
US 1489,*,,
US 1493,G,,
US 1503,*,,
US 1523,Sy1,,
US 1530,*,,
US 1551,QSO,,
US 1556,QSO,,
US 1586,*,,
US 1591,*,,
US 1605,QSO,,
US 1614,*,,
US 1618,QSO,,
US 1625,Sy1,,
US 1636,blu,,
US 1639,WD*,,
US 1649,*,,
US 1659,QSO,,
US 1672,QSO,,
US 1693,QSO,,
US 1706,WD*,,
US 1715,*,,
US 1729,*,,
US 1738,*,,
US 1742,Sy1,,
US 1745,*,,
US 1754,WD*,,
US 1755,G,,
US 1769,*,,
US 1785,*,,
US 1788,*,,
US 1791,blu,,
US 1811,*,,
US 1815,*,,
US 1817,QSO,,
US 1820,*,,
US 1831,*,,
US 1833,blu,,
US 1837,QSO,,
US 1841,*,,
US 1844,QSO,,
US 1885,QSO,,
US 1891,*,,
US 1901,QSO,,
US 1905,blu,,
US 1914,*,,
US 1936,QSO,,
US 1937,*,,
US 1961,QSO,,
US 1964,QSO,,
US 1969,*,,
US 1972,QSO,,
US 1974,*,,
US 1987,*,,
US 1990,WD*,,
US 2025,RR*,,
US 2029,WD*,,
US 2039,WD*,,
US 2047,*,,
US 2056,*,,
US 2069,blu,,
US 2073,WD*,,
US 2082,blu,,
US 2089,WD*,,
US 2104,*,,
US 2105,*,,
US 2110,QSO,,
US 2112,WD?,,
US 2114,*,,
US 2126,blu,,
US 2133,QSO,,
US 2145,*,,
US 2154,blu,,
US 2156,QSO,,
US 2160,*,,
US 2168,blu,,
US 2183,*,,
US 2215,*,,
US 2221,*,,
US 2228,*,,
US 2243,WD*,,
US 2256,*,,
US 2260,*,,
US 2294,*,,
US 2302,*,,
US 2311,HS?,,
US 2324,*,,
US 2326,QSO,,
US 2336,QSO,,
US 2343,WD*,,
US 2344,WD*,,
US 2349,WD*,,
US 2352,QSO,,
US 2356,blu,,
US 2357,blu,,
US 2367,*,,
US 2369,*,,
US 2380,*,,
US 2385,blu,,
US 2388,QSO,,
US 2405,*,,
US 2409,*,,
US 2421,QSO,,
US 2430,*,,
US 2434,*,,
US 2459,*,,
US 2492,*,,
US 2498,*,,
US 2508,G,,
US 2517,*,,
US 2521,*,,
US 2524,*,,
US 2533,*,,
US 2545,*,,
US 2547,*,,
US 2567,*,,
US 2570,blu,,
US 2581,QSO,,
US 2607,*,,
US 2638,*,,
US 2641,*,,
US 2653,QSO,,
US 2654,QSO,,
US 2691,*,,
US 2715,*,,
US 2716,*,,
US 2730,QSO,,
US 2742,*,,
US 2759,QSO,,
US 2761,QSO,,
US 2773,*,,
US 2794,QSO,,
US 2798,*,,
US 2799,QSO,,
US 2812,RR*,,
US 2826,blu,,
US 2837,blu,,
US 2844,QSO,,
US 2848,QSO,,
US 2850,*,,
US 2854,*,,
US 2866,Sy1,,
US 2886,QSO,,
US 2893,*,,
US 2894,G,,
US 2897,QSO,,
US 2899,*,,
US 2916,*,,
US 2919,*,,
US 2923,*,,
US 2927,EmG,,
US 2937,WD*,,
US 2944,*,,
US 2975,*,,
US 2982,*,,
US 2990,*,,
US 3007,blu,,
US 3016,QSO,,
US 3023,WD*,,
US 3026,QSO,,
US 3029,QSO,,
US 3038,blu,,
US 3041,*,,
US 3042,*,,
US 3058,*,,
US 3059,HB*,,
US 3088,WD*,,
US 3090,BS*,,
US 3099,Sy1,,
US 3107,*,,
US 3117,AGN,,
US 3130,blu,,
US 3138,*,,
US 3151,*,,
US 3160,*,,
US 3163,QSO,,
US 3164,*,,
US 3169,*,,
US 3186,QSO,,
US 3207,Q?,,
US 3214,*,,
US 3215,Sy1,,
US 3223,*,,
US 3238,*,,
US 3240,*,,
US 3241,**,,
US 3259,HB*,,
US 3261,*,,
US 3287,*,,
US 3316,*,,
US 3337,*,,
US 3353,*,,
US 3361,*,,
US 3362,*,,
US 3374,QSO,,
US 3385,*,,
US 3393,*,,
US 3399,*,,
US 3405,*,,
US 3413,*,,
US 3422,blu,,
US 3435,blu,,
US 3437,QSO,,
US 3443,Pe*,,
US 3455,*,,
US 3461,QSO,,
US 3475,Q?,,
US 3479,PM*,,
US 3501,*,,
US 3506,QSO,,
US 3508,*,,
US 3510,*,,
US 3512,*,,
US 3525,BLL,,
US 3546,Q?,,
US 3547,Pe*,,
US 3554,*,,
US 3562,*,,
US 3570,*,,
US 3573,*,,
US 3600,*,,
US 3603,*,,
US 3607,*,,
US 3612,*,,
US 3614,Pe*,,
US 3629,*,,
US 3638,*,,
US 3639,HB*,,
US 3646,QSO,,
US 3655,*,,
US 3672,G,,
US 3674,WD*,,
US 3675,*,,
US 3676,AGN,,
US 3683,*,,
US 3685,WD*,,
US 3704,WD*,,
US 3711,HS?,,
US 3740,*,,
US 3758,*,,
US 3764,*,,
US 3770,AGN,,
US 3779,*,,
US 3780,*,,
US 3786,*,,
US 3797,WD*,,
US 3805,AGN,,
US 3817,*,,
US 3827,*,,
US 3835,*,,
US 3843,*,,
US 3844,*,,
US 3848,*,,
US 3872,*,,
US 3874,*,,
US 3875,*,,
US 3877,*,,
US 3878,WD*,,
US 3880,QSO,,
US 3886,*,,
US 3887,*,,
US 3894,*,,
US 3904,*,,
US 3919,*,,
US 3921,*,,
US 3942,*,,
US 3944,*,,
USNO-A2.0 0975-01838431,Em*,,
USNO-A2.0 1200-03588518,*,,
V* AA CVn,RR*,,
V* AA Gem,cC*,,
V* AB Aur,Ae*,,
V* AB CVn,EB*,,
V* AB Cru,SB*,,
V* AB Dor,TT*,,
V* AC And,RR*,,
V* AC Her,pA*,,
V* AC Ori,Or*,,
V* AD Leo,PM*,,
V* AD Per,s*r,,
V* AE Aqr,CV*,,
V* AE Aur,Or*,,
V* AE Ori,Or*,,
V* AF Ori,Or*,,
V* AG Dor,RS*,,
V* AH Her,CV*,,
V* AI Cyg,AB*,,
V* AI Hyi,cC*,,
V* AI Ori,Or*,,
V* AI Tri,CV*,,
V* AK CVn,RR*,,
V* AK UMa,RR*,,
V* AM Her,CV*,,
V* AM Ori,TT*,,
V* AM Scl,C*,,
V* AN Ori,TT*,,
V* AN UMa,CV*,,
V* AO Cas,SB*,,
V* AP Her,WV*,,
V* AQ Leo,RR*,,
V* AR And,CV*,,
V* AR Lac,RS*,,
V* AR UMa,CV*,,
V* AT And,RR*,0.0033,0.0
V* AT CVn,RR*,,
V* AT Mic,**,,
V* AT Mic B,PM*,,
V* AU Scl,dS*,,
V* AV Cyg,RV*,,
V* AV Ser,RR*,,
V* AX Ori,TT*,,
V* AX Per,Sy*,,
V* AX Sgr,s*r,,
V* AY Cen,cC*,,
V* BB Lyn,RR*,,
V* BC Dor,CV*,,
V* BC Lyn,RR*,,
V* BD Cam,Sy*,,
V* BE CMa,C*,,
V* BE UMa,CV*,,
V* BF Lyn,BY*,,
V* BF Ori,Ae*,,
V* BF Sge,C*,0.0033,0.0
V* BG And,S*,,
V* BG Ari,CV*,,
V* BH CVn,RS*,,
V* BK Cen,cC*,,
V* BK Nor,C*,,
V* BL Her,WV*,,
V* BL Ori,C*,,
V* BL Tel,SB*,,
V* BM And,Or*,,
V* BN Vul,RR*,,
V* BP Cru,HXB,,
V* BP Tau,Or*,,
V* BQ Mon,AB*,,
V* BR CVn,LP*,,
V* BR Cir,HXB,,
V* BR Cnc,dS*,,
V* BT Mon,No*,,
V* BT Ori,Or*,,
V* BU Ari,Or*,,
V* BU Cru,EB*,,
V* BW Ari,BY*,,
V* BX Scl,SX*,,
V* BZ Car,s*r,,
V* CC And,dS*,,
V* CC Cet,CV*,,
V* CD Ori,Or*,,
V* CD Tau,SB*,,
V* CE Cas B,cC*,,
V* CE Vul,RR*,,
V* CF Cas,cC*,,
V* CF Tuc,RS*,,
V* CG Com,RR*,,
V* CH Cyg,Sy*,,
V* CI Cam,HXB,,
V* CI Cyg,Sy*,,
V* CI Per,cC*,,
V* CI Tau,Or*,,
V* CK Vul,CV*,,
V* CL Gem,Mi*,,
V* CM Cyg,S*,,
V* CM Tau,Psr,,
V* CO Ori,Or*,,
V* CO Ser,RR*,,
V* CP Pup,No*,,
V* CP Ser,LP*,,
V* CR Boo,CV*,,
V* CR Cam,Be*,,
V* CS Cet,PM*,,
V* CS Vel,cC*,,
V* CU Cam,EB*,,
V* CU Cru,EB*,,
V* CU Vir,a2*,,
V* CW Cha,Or*,,
V* CX Tau,Or*,,
V* CY Tau,Or*,,
V* CZ Ori,CV*,,
V* CZ Tau,Or*,,
V* DD Tau,Or*,,
V* DF Cyg,RV*,,
V* DF Tau,TT*,,
V* DG CrA,Or*,,
V* DG Tau,TT*,,
V* DI Cep,Or*,,
V* DI Tau,Or*,,
V* DK Cha,TT*,,
V* DK Lac,No*,,
V* DK Tau,Or*,,
V* DK Tau A,Or*,,
V* DK Vir,dS*,,
V* DL Ori,Or*,,
V* DL Tau,Or*,,
V* DM Gem,No*,,
V* DM UMa,RS*,,
V* DN Cas,SB*,,
V* DN Dra,WD*,,
V* DN Gem,No*,,
V* DO Tau,Or*,,
V* DP Leo,CV*,,
V* DQ Her,CV*,,
V* DQ Tau,Or*,,
V* DR Tau,Or*,,
V* DT Lyn,HS*,,
V* DV UMa,CV*,,
V* DX Del,RR*,,
V* DY Aql,RV*,,
V* EF Eri,CV*,,
V* EG Com,RR*,,
V* EH Aql,Mi*,,
V* EH Cru,Pu*,,
V* EI Eri,RS*,,
V* EK Dra,BY*,,
V* EM Aqr,dS*,,
V* EM Cyg,CV*,,
V* EO Com,RR*,,
V* EO Psc,RS*,,
V* EP Aqr,AB*,,
V* EP Lyr,RV*,,
V* EP Vul,S*,,
V* ER Cep,EB*,,
V* ET And,a2*,,
V* ET Boo,**,0.0033,0.0
V* ET Peg,RR*,,
V* EU Del,LP*,,
V* EU Ser,Ae*,,
V* EU UMa,CV*,,
V* EV Cyg,Mi*,,
V* EV Lac,PM*,,
V* EW Aql,*,,
V* EX Cyg,cC*,,
V* EY Cnc,*,,
V* FF And,SB*,,
V* FF Aql,cC*,,
V* FG Hya,SB*,,
V* FH Ser,No*,,
V* FK Aqr,SB*,,
V* FK Com,PM*,,
V* FL Lyr,SB*,,
V* FM Del,WV*,,
V* FM Tau,Or*,,
V* FP Aql,Mi*,,
V* FQ Car,cC*,,
V* FQ Tau,Or*,,
V* FS Aur,CV*,,
V* FS Cet,CV*,,
V* FS Tau,TT*,,
V* FT Mon,cC*,,
V* FT Vir,dS*,,
V* FU Ori,Or*,,
V* FV Cep,Or*,,
V* FX Tau,Or*,,
V* FY Tau,Or*,,
V* FZ CMa,SB*,,
V* GG Tau,Or*,,
V* GH Car,cC*,,
V* GH Tau,Or*,,
V* GI Cet,LM*,,
V* GI Tau,Or*,,
V* GK Per,No*,,
V* GK Tau,Or*,,
V* GK Vir,**,,
V* GL Cep,Or*,,
V* GP Cas,s*r,,
V* GP Ori,S*,,
V* GP Vel,HXB,,
V* GQ Mon,TT*,,
V* GR Cha,Or*,,
V* GR Mon,TT*,,
V* GR Mus,LXB,,
V* GS Cas,LP*,,
V* GT CMa,S*,,
V* GU Mus,HXB,,
V* GV Lyr,LP*,,
V* GV Tau,TT*,,
V* GW Ori,TT*,,
V* GW Vir,WD*,,
V* GY Aql,Mi*,,
V* HK Leo,CV*,,
V* HK Lyr,C*,,
V* HL Aur,EB*,,
V* HL Tau,Or*,,
V* HM Sge,Sy*,,
V* HN Peg,BY*,,
V* HN Tau,Or*,,
V* HP Cha,TT*,,
V* HP Eri,LP*,,
V* HP Tau,Or*,,
V* HS Her,SB*,,
V* HS Hya,SB*,,
V* HS Sge,No*,,
V* HW Cha,Or*,,
V* HX Ori,Or*,,
V* HZ And,LP*,,
V* HZ Aqr,RS*,,
V* HZ Her,LXB,,
V* IK Peg,dS*,,
V* IK Tau,OH*,,
V* IL Com,RS*,,
V* IM And,EB*,,
V* IN Ori,TT*,,
V* IO Mon,TT*,,
V* IP Mon,TT*,,
V* IP Peg,CV*,,
V* IQ Tau,Or*,,
V* IR Gem,CV*,,
V* IW Ori A,Or*,,
V* IW Tau,TT*,,
V* IX Ori,TT*,,
V* IZ Cen,cC*,,
V* KK Per,s*r,,
V* KM Ori,Or*,,
V* KN Ori,Or*,,
V* KO Ori,Or*,,
V* KO Peg,RR*,,
V* KQ Ori B,*,,
V* KR Aur,CV*,,
V* KR Ori,Or*,,
V* KS Cyg,Mi*,,
V* KS Ori,Or*,,
V* KT Vel,a2*,,
V* KU Com,dS*,,
V* KU Hya,a2*,0.0033,0.0
V* KV Mon,Or*,,
V* KV Sco,AB*,,
V* KY Cyg,s*r,,
V* KY TrA,LXB,,
V* KZ Hya,SX*,,
V* KZ Lyr,Mi*,,
V* KZ Ori,Or*,,
V* LL Ori,Or*,,
V* LM Cam,Mi*,,
V* LO Her,Mi*,,
V* LQ Hya,BY*,,
V* LQ Ori,Or*,,
V* LR Mon,TT*,,
V* LR Ori,Or*,,
V* LR Sct,Mi*,,
V* LS Aqr,LP*,,
V* LT Mon,TT*,,
V* LU TrA,LXB,,
V* LV Ser,a2*,,
V* LW Ori,Or*,,
V* LW Ser,No*,,
V* LX And,pA*,,
V* LX Mon,TT*,,
V* LX Per,RS*,,
V* LY Com,RR*,,
V* LY Ori,Or*,,
V* LZ Sct,EB*,,
V* MM Mon,TT*,,
V* MM Ser,LXB,,
V* MN Sct,LP*,,
V* MO Mon,TT*,,
V* MP Tau,Er*,,
V* MR Ori,Or*,,
V* MS Ori,Or*,,
V* MT Ori,Or*,,
V* MV Lyr,CV*,,
V* MV Ori,Or*,,
V* MW Her,Mi*,,
V* MW Tau,Y*O,,
V* MW Vul,a2*,0.0033,0.0
V* MX Ori,Or*,,
V* MY Ori,TT*,,
V* MY Tau,Y*O,,
V* MZ Ori,TT*,,
V* MZ Ser,Or*,,
V* NN Ser,RS*,,
V* NO Ori,TT*,,
V* NO Ori B,Or*,,
V* NP And,EB*,,
V* NP Ser,LXB,,
V* NP Tau,Y*O,,
V* NQ Gem,Sy*,,
V* NS Ori,TT*,,
V* NT Gem,LP*,,
V* NT Ori,Or*,,
V* NV Mon,TT*,,
V* NV Ori,Ae*,,
V* NY Cep,SB*,0.0033,0.0
V* OO Mon,TT*,,
V* OQ Tau,Y*O,,
V* OR Mon,TT*,,
V* OS Tau,**,,
V* OT Ori,TT*,,
V* OT Ser,PM*,,
V* OW Mon,Or*,,
V* OX Ori,TT*,,
V* OY Car,CV*,,
V* OY Mon,TT*,,
V* OZ Tau,PM*,,
V* PQ Gem,CV*,,
V* PQ Mon,Or*,,
V* PR Ori,Or*,,
V* PV Cep,Or*,0.39,0.36
V* PX And,CV*,,
V* PX Cyg,Mi*,,
V* PY Mon,Or*,,
V* Q Cyg,No*,,
V* QQ Tau,Er*,,
V* QQ Vul,CV*,,
V* QS Nor,Sy*,,
V* QS Pup,bC*,,
V* QS Tel,CV*,,
V* QT Tau,PM*,,
V* QU Car,CV*,,
V* QU TrA,LXB,,
V* QX Aur,Mi*,,
V* QX CMa,LP*,,
V* QY Ser,LP*,,
V* QZ Vir,CV*,,
V* R Aql,OH*,,
V* R Aqr,Sy*,,
V* R CMi,S*,,
V* R Cas,Mi*,,
V* R Cen,Mi*,,
V* R CrA,Ae*,,
V* R Crt,AB*,,
V* R Crv,Mi*,,
V* R Cyg,S*,,
V* R Hya,Mi*,,
V* R Ind,Mi*,,
V* R Leo,Mi*,,
V* R Lep,C*,,
V* R Lup,Mi*,,
V* R Mon,Ae*,,
V* R Ori,S*,,
V* R Ser,Mi*,,
V* R Tri,Mi*,,
V* RR CVn,RR*,,
V* RR Car,S*,,
V* RR Lyr,RR*,,
V* RR Sco,Mi*,,
V* RR Tel,Sy*,,
V* RS Car,No*,,
V* RS Cyg,C*,,
V* RS Pup,cC*,,
V* RT Hya,AB*,,
V* RT Tri,Mi*,,
V* RT Vir,AB*,,
V* RU Ara,Mi*,,
V* RU Her,Mi*,,
V* RU Lup,TT*,,
V* RV Aur,C*,,
V* RV Cam,AB*,,
V* RV Cap,RR*,,
V* RV Cyg,C*,,
V* RV Eri,AB*,,
V* RV Gru,EB*,,
V* RV Tau,RV*,,
V* RW Aur,TT*,,
V* RW Hya,Sy*,,
V* RW LMi,C*,,
V* RW Tri,CV*,,
V* RX Ara,AB*,,
V* RX Boo,AB*,,
V* RX Cen,Mi*,,
V* RY Ari,AB*,,
V* RY Gem,SB*,,
V* RY LMi,WD*,,
V* RY Mon,C*,,
V* RY Sct,Be*,0.23,0.17
V* RY Tau,TT*,,
V* RZ Cep,RR*,,
V* RZ LMi,CV*,,
V* RZ Mon,Mi*,,
V* RZ Per,S*,,
V* RZ Sct,SB*,,
V* S Ant,SB*,,
V* S Cas,S*,,
V* S CrA,Or*,0.16666667,0.13333334
V* S Cyg,S*,,
V* S Dor,sg*,,
V* S Sct,C*,,
V* S Vol,Mi*,,
V* SS Aur,CV*,,
V* SS Cas,Mi*,,
V* SS Cnc,RR*,,
V* SS Cyg,CV*,,
V* SS Gem,RV*,,
V* SS Mon,Or*,,
V* SU Aur,Or*,,
V* SU Crt,dS*,,
V* SU Dra,RR*,,
V* SU Ori,Or*,,
V* SU Psc,EB*,,
V* SU Sco,C*,,
V* SU UMa,CV*,,
V* SV Eri,RR*,,
V* SV Sgr,Or*,,
V* SV Tuc,cC*,,
V* SV UMa,RV*,,
V* SV Vul,cC*,,
V* SW Sex,CV*,,
V* SX Cam,Mi*,,
V* SX Her,RV*,,
V* SX Peg,S*,,
V* SX Phe,SX*,,
V* SY Cha,Or*,,
V* SY Equ,bC*,,
V* SY Tau,LP*,,
V* SZ Aur,Mi*,,
V* SZ Cha,Or*,,
V* SZ Mon,pA*,,
V* SZ Sgr,C*,,
V* SZ Tuc,cC*,,
V* SZ UMa,PM*,,
V* T Aur,No*,,
V* T Boo,CV?,,
V* T CVn,AB*,,
V* T Cam,S*,,
V* T Cas,Mi*,,
V* T Cnc,C*,,
V* T Com,OH*,,
V* T Eri,Mi*,,
V* T Gem,S*,,
V* T Ind,C*,,
V* T Lyr,C*,,
V* T Mon,cC*,,
V* T Pyx,CV*,,
V* T Sco,No*,,
V* T Tau,TT*,0.8,0.56666666
V* TT Cen,S*,,
V* TU Cas,cC*,,
V* TU Leo,CV*,,
V* TU Ori,Or*,,
V* TV Aur,S*,,
V* TW Cha,Or*,,
V* TW Cnc,SB*,,
V* TW Ori,Or*,,
V* TW Pic,CV*,,
V* TX Cnc,SB*,,
V* TX UMa,SB*,,
V* TZ Crv,LP*,,
V* TZ Lyn,a2*,,
V* TZ Per,CV*,,
V* U Cep,SB*,,
V* U Cyg,C*,,
V* U Gem,CV*,,
V* U Hya,C*,,
V* U Leo,CV*,,
V* U Mon,pA*,,
V* U Oph,SB*,,
V* U Sgr,cC*,,
V* UU Aqr,CV*,,
V* UU Aur,C*,,
V* UU Cha,Or*,,
V* UU Vir,RR*,,
V* UV Aur,C*,,
V* UV Scl,RR*,,
V* UX Ari,RS*,0.0067,0.0
V* UX Com,RS*,,
V* UX Lup,WV*,,
V* UX Tau,Or*,,
V* UX Tau A,TT*,,
V* UX Tau B,TT*,,
V* UX UMa,CV*,,
V* UX Vol,S*,,
V* UY Ara,pA*,,
V* UY Aur,Or*,,
V* UY Oph,Mi*,,
V* UY Sex,HS*,,
V* UY UMi,gD*,,
V* UZ Cha,Or*,,
V* UZ For,CV*,,
V* UZ Tau,Or*,,
V* V Boo,AB*,,
V* V Cas,Mi*,,
V* V Cen,cC*,,
V* V Lyr,Mi*,,
V* V1002 Ori,Or*,,
V* V1006 Ori,TT*,,
V* V1010 Oph,SB*,,
V* V1010 Tau,Y*O,,
V* V1012 Sco,EB*,,
V* V1023 Tau,Or*,,
V* V1031 Sco,Er*,,
V* V1038 Tau,BY*,,
V* V1041 Tau,Y*O,,
V* V1042 Oph,RR*,,
V* V1044 Ori,Or*,,
V* V1045 Oph,RR*,,
V* V1045 Ori,a2*,,
V* V1046 Tau,PM*,,
V* V1048 Oph,RR*,,
V* V1049 Oph,RR*,,
V* V1054 Tau,Y*O,,
V* V1062 Sco,a2*,,
V* V1062 Tau,CV*,,
V* V1063 Cyg,Mi*,,
V* V1065 Sco,a2*,,
V* V1073 Ori,Or*,,
V* V1076 Tau,Or*,,
V* V1080 Sco,**,0.005,0.0
V* V1085 Tau,BY*,,
V* V1089 Cen,EB*,,
V* V1089 Tau,BY*,,
V* V1090 Tau,BY*,,
V* V1096 Tau,TT*,,
V* V1099 Her,HS*,,
V* V1116 Tau,dS*,,
V* V1123 Ori,Or*,,
V* V1129 Ori,TT*,,
V* V1155 Cen,Or*,,
V* V1156 Ori,*,,
V* V1162 Ori,dS*,,
V* V1168 Tau,BY*,,
V* V1173 Tau,BY*,,
V* V1175 Ori,Or*,,
V* V1176 Tau,Er*,,
V* V1191 Sco,TT*,,
V* V1193 Sco,Or*,,
V* V1208 Sco,Y*O,,
V* V1210 Tau,gD*,,
V* V1211 Sgr,RR*,,
V* V1213 Tau,Or*,,
V* V1215 Tau,Mi*,,
V* V1219 Tau,Mi*,,
V* V1223 Sgr,CV*,,
V* V1227 Ori,Or*,,
V* V1228 Tau,dS*,,
V* V1229 Ori,Or*,,
V* V1232 Ori,Or*,,
V* V1235 Ori,Or*,,
V* V1237 Aql,LP*,,
V* V1237 Ori,TT*,,
V* V1240 Ori,Or*,,
V* V1251 Aql,LP*,,
V* V1273 Ori,Or*,,
V* V1278 Ori,Or*,,
V* V1282 Tau,RS*,,
V* V1288 Ori,Or*,,
V* V1291 Ori,Or*,,
V* V1296 Ori,TT*,1.1,0.63
V* V1300 Ori,Or*,,
V* V1304 Ori,Or*,,
V* V1312 Tau,TT*,,
V* V1315 Aql,CV*,,
V* V1315 Ori,Or*,,
V* V1326 Ori,Or*,,
V* V1327 Sgr,Mi*,,
V* V1328 Ori,Or*,,
V* V1329 Cyg,Sy*,,
V* V1330 Ori,Or*,,
V* V1332 Ori,Or*,,
V* V1333 Ori,Or*,,
V* V1335 Ori,Or*,,
V* V1338 Ori,TT*,,
V* V1341 Cyg,LXB,,
V* V1345 Ori,TT*,,
V* V1350 Ori,Or*,,
V* V1353 Sgr,RR*,,
V* V1360 Sgr,RR*,,
V* V1367 Sgr,RR*,,
V* V1370 Aql,No*,,
V* V1372 Cyg,a2*,,
V* V1390 Sgr,EB*,,
V* V1398 Ori,Or*,,
V* V1399 Ori,Or*,,
V* V1401 Aql,pA*,,
V* V1405 Aql,LXB,,
V* V1412 Sgr,LP*,,
V* V1418 Sgr,RR*,,
V* V1423 Ori,TT*,,
V* V1430 Aql,RS*,,
V* V1434 Sgr,RR*,,
V* V1440 Ori,TT*,,
V* V1445 Ori,Or*,,
V* V1445 Sgr,RR*,,
V* V1456 Sgr,AB*,,
V* V1459 Sgr,EB*,,
V* V1461 Cyg,LP*,,
V* V1463 Ori,TT*,,
V* V1464 Sgr,RR*,,
V* V1465 Sgr,RR*,,
V* V1468 Sgr,AB*,,
V* V1476 Ori,TT*,,
V* V1477 Ori,TT*,,
V* V1484 Ori,TT*,,
V* V1487 Ori,Or*,,
V* V1488 Ori,Or*,,
V* V1492 Ori,TT*,,
V* V1493 Ori,Or*,,
V* V1494 Ori,Or*,,
V* V1498 Ori,Or*,,
V* V1500 Cyg,No*,,
V* V1501 Ori,Or*,,
V* V1504 Ori,Or*,,
V* V1506 Sgr,AB*,,
V* V1509 Ori,Or*,,
V* V1510 Ori,Or*,,
V* V1512 Sgr,Mi*,,
V* V1515 Cyg,Or*,,
V* V1518 Ori,Or*,,
V* V1518 Sgr,RR*,,
V* V1521 Cyg,HXB,,
V* V1522 Ori,Or*,,
V* V1524 Ori A,Y*?,,
V* V1525 Ori,Or*,,
V* V1538 Ori,Or*,,
V* V1540 Ori,Or*,,
V* V1542 Ori,Or*,,
V* V1548 Ori,Or*,,
V* V1557 Ori,TT*,,
V* V1563 Ori,Or*,,
V* V1569 Ori,TT*,,
V* V1581 Ori,Or*,,
V* V1588 Ori,TT*,,
V* V1610 Cyg,pA*,0.562,0.389
V* V1612 Ori,TT*,,
V* V1612 Sgr,Mi*,,
V* V1615 Ori,Or*,,
V* V1617 Cyg,AB*,,
V* V1671 Ori,Or*,,
V* V1674 Ori,TT*,,
V* V1675 Ori,TT*,,
V* V1703 Ori,TT*,,
V* V1728 Cyg,Mi*,,
V* V1731 Ori,Or*,,
V* V1734 Cyg,Mi*,,
V* V1735 Cyg,Or*,,
V* V1735 Ori,TT*,,
V* V1739 Ori,Or*,,
V* V1748 Ori,TT*,,
V* V1766 Ori,Or*,,
V* V1777 Ori,Or*,,
V* V1792 Cyg,SB*,,
V* V1814 Ori,Or*,,
V* V1819 Cyg,CV*,,
V* V1840 Oph,cC*,,
V* V1900 Ori,TT*,,
V* V1934 Cyg,a2*,,
V* V1975 Ori,TT*,,
V* V2011 Cyg,SB*,,
V* V2011 Ori,Or*,,
V* V2019 Ori,Or*,,
V* V2023 Ori,Or*,,
V* V2026 Ori,TT*,,
V* V2030 Ori,Or*,,
V* V2033 Ori,TT*,,
V* V2051 Oph,CV*,,
V* V2052 Oph,bC*,,
V* V2090 Ori,Or*,,
V* V2102 Ori,TT*,,
V* V2105 Oph,LP*,,
V* V2107 Oph,HXB,,
V* V2109 Ori,TT*,,
V* V2116 Oph,Sy*,,
V* V2131 Oph,Or*,,
V* V2140 Ori,Or*,,
V* V2141 Ori,Or*,,
V* V2142 Ori,Or*,,
V* V2147 Cyg,a2*,,
V* V2149 Ori,Or*,,
V* V2151 Ori,Or*,,
V* V2162 Ori,Or*,,
V* V2170 Ori,Or*,,
V* V2185 Ori,Or*,,
V* V2189 Cyg,EB*,,
V* V2191 Ori,Or*,,
V* V2199 Ori,Or*,,
